sample,n,m,ALNS_objective,ALNS_time_ms,ALNS_optimal,CP_Ortools_objective,CP_Ortools_time_ms,CP_Ortools_optimal,GP_objective,GP_time_ms,GP_optimal,Greedy_objective,Greedy_time_ms,Greedy_optimal,ILP_Ortools_objective,ILP_Ortools_time_ms,ILP_Ortools_optimal,ILP_gurobi_objective,ILP_gurobi_time_ms,ILP_gurobi_optimal,LocalSearch_objective,LocalSearch_time_ms,LocalSearch_optimal
Adversarial_10000_600_6,10000,600,107,9530,False,106,601574,False,109,712197,False,107,199,False,149,760855,False,106,97468,False,108,32528,False
Adversarial_1000_80_5,1000,80,66,1568,False,65,3100,True,66,630259,False,66,14,False,65,999,True,65,664,False,66,229,False
Adversarial_100_10_3,100,10,30,86,False,30,128,True,30,71740,False,31,0,False,30,39,True,30,8,False,30,1,False
Adversarial_20000_1000_6,20000,1000,128,22230,False,128,603446,False,130,701436,False,128,397,False,183,784204,False,128,428173,False,128,137291,False
Adversarial_2000_150_5,2000,150,70,2990,False,69,600249,False,71,623810,False,70,30,False,69,3966,True,69,1254,False,70,876,False
Adversarial_200_15_3,200,15,41,234,False,40,108,True,41,117034,False,41,4,False,40,68,True,40,18,False,40,3,False
Adversarial_5000_300_6,5000,300,107,4044,False,106,600802,False,108,613575,False,107,213,False,106,41516,True,106,14441,False,107,7099,False
Adversarial_500_30_4,500,30,67,232,False,67,326,True,68,629416,False,69,10,False,67,280,True,67,113,False,68,34,False
Adversarial_50_10_2,50,10,10,54,False,10,16,True,10,10105,False,11,0,False,10,10,True,10,5,False,10,1,False
Adversarial_800_50_5,800,50,82,415,False,82,948,True,85,622977,False,83,12,False,82,696,True,82,204,False,83,145,False
Exponential_10000_4000_6,10000,4000,17,11205,False,15,602163,False,16,989505,False,16,368,False,28,885106,False,15,61932,False,16,56341,False
Exponential_1000_700_5,1000,700,8,1808,False,8,600203,False,8,618736,False,8,27,False,8,4715,True,8,3272,False,8,600,False
Exponential_100_50_3,100,50,7,74,False,6,87,True,7,71748,False,7,1,False,6,57,True,6,14,False,7,3,False
Exponential_20000_9000_6,20000,9000,15,47425,False,14,604697,False,15,917787,False,14,577,False,30,921194,False,14,2409530,False,14,248254,False
Exponential_2000_900_5,2000,900,12,3200,False,12,600327,False,12,621647,False,12,44,False,26,617995,False,12,9439,False,12,1779,False
Exponential_200_100_3,200,100,7,119,False,6,162,True,7,119811,False,7,2,False,6,137,True,6,47,False,7,14,False
Exponential_5000_2000_6,5000,2000,16,5169,False,15,601621,False,16,638388,False,16,134,False,30,898355,False,15,14820,False,16,12860,False
Exponential_500_350_4,500,350,11,514,False,6,1603,True,7,356381,False,6,12,False,6,1016,True,6,509,False,6,86,False
Exponential_50_20_2,50,20,5,32,False,5,22,True,5,14262,False,5,0,False,5,16,True,5,9,False,6,0,False
Exponential_800_500_5,800,500,9,1304,False,8,7664,True,9,606214,False,9,24,False,8,4826,True,8,335,False,9,416,False
Gaussian_10000_4000_6,10000,4000,16,10057,False,16,601646,False,16,695239,False,16,222,False,29,855337,False,16,177038,False,16,51071,False
Gaussian_1000_700_5,1000,700,8,1599,False,8,498038,True,8,605527,False,8,45,False,8,3946,True,8,2895,False,8,480,False
Gaussian_100_50_3,100,50,7,109,False,6,98,True,7,43597,False,7,1,False,6,58,True,6,13,False,7,2,False
Gaussian_20000_9000_6,20000,9000,15,44263,False,14,568291,False,15,684532,False,14,498,False,28,800141,False,14,774545,False,14,251760,False
Gaussian_2000_900_5,2000,900,12,3520,False,12,600287,False,12,614456,False,12,42,False,12,342269,True,12,5133,False,12,1730,False
Gaussian_200_100_3,200,100,7,160,False,6,206,True,7,104981,False,7,2,False,6,111,True,6,32,False,7,12,False
Gaussian_5000_2000_6,5000,2000,16,4694,False,16,600765,False,16,704849,False,16,129,False,29,848155,False,16,21996,False,16,13190,False
Gaussian_500_350_4,500,350,12,473,False,6,1004,True,7,389131,False,6,8,False,6,691,True,6,827,False,6,135,False
Gaussian_50_20_2,50,20,6,47,False,5,20,True,5,12727,False,6,0,False,5,15,True,5,6,False,6,0,False
Gaussian_800_500_5,800,500,9,1449,False,9,599903,False,9,525254,False,9,17,False,9,1716,True,9,1029,False,9,341,False
Poisson_10000_4000_6,10000,4000,16,10276,False,16,601885,False,17,696478,False,16,266,False,30,884789,False,16,177062,False,16,50399,False
Poisson_1000_700_5,1000,700,8,1584,False,8,599955,False,8,609042,False,8,17,False,8,2928,True,8,2825,False,8,497,False
Poisson_100_50_3,100,50,7,117,False,6,61,True,7,50774,False,6,1,False,6,60,True,6,14,False,7,2,False
Poisson_20000_9000_6,20000,9000,15,45136,False,14,578841,False,15,676722,False,14,568,False,31,844061,False,14,562033,False,14,233912,False
Poisson_2000_900_5,2000,900,12,1851,False,12,600304,False,12,605450,False,12,35,False,12,330627,True,12,5253,False,12,1645,False
Poisson_200_100_3,200,100,7,138,False,6,161,True,7,86496,False,7,2,False,6,109,True,6,37,False,7,9,False
Poisson_5000_2000_6,5000,2000,16,4948,False,16,600721,False,17,693856,False,16,156,False,30,879356,False,16,32804,False,16,12822,False
Poisson_500_350_4,500,350,9,768,False,6,1101,True,7,329618,False,7,7,False,6,585,True,6,451,False,6,88,False
Poisson_50_20_2,50,20,5,35,False,5,26,True,5,16491,False,5,0,False,5,15,True,5,6,False,5,0,False
Poisson_800_500_5,800,500,9,837,False,8,16425,True,9,486713,False,9,14,False,8,1404,True,8,319,False,9,358,False
Uniform_10000_4000_6,10000,4000,16,11730,False,15,602582,False,16,1060817,False,16,303,False,30,884006,False,15,59760,False,16,59998,False
Uniform_1000_700_5,1000,700,8,1700,False,8,600207,False,8,621331,False,8,45,False,8,48042,True,8,2940,False,8,599,False
Uniform_100_50_3,100,50,6,72,False,6,83,True,7,73330,False,7,1,False,6,61,True,6,16,False,6,2,False
Uniform_20000_9000_6,20000,9000,15,50941,False,14,604556,False,15,1030629,False,14,622,False,30,997628,False,14,2265356,False,14,274675,False
Uniform_2000_900_5,2000,900,12,2063,False,12,600390,False,12,610171,False,12,54,False,24,760219,False,12,10229,False,12,1870,False
Uniform_200_100_3,200,100,7,218,False,6,245,True,7,192949,False,7,5,False,6,174,True,6,37,False,6,10,False
Uniform_5000_2000_6,5000,2000,16,5223,False,15,601115,False,16,760038,False,16,143,False,28,934078,False,15,9192,False,16,14254,False
Uniform_500_350_4,500,350,9,893,False,6,2786,True,7,596100,False,6,10,False,6,1385,True,6,766,False,6,111,False
Uniform_50_20_2,50,20,6,77,False,5,18,True,6,13326,False,6,0,False,5,14,True,5,7,False,6,0,False
Uniform_800_500_5,800,500,9,1288,False,8,16246,True,9,612125,False,9,21,False,8,2847,True,8,361,False,9,357,False
hustack1,5,3,4,13,False,4,3,True,4,1709,False,4,0,False,4,3,True,4,2,False,4,0,False
hustack2,200,30,21,105,False,20,121,True,21,80778,False,21,2,False,20,58,True,20,520,False,21,5,False
hustack3,300,30,31,144,False,30,175,True,31,119668,False,31,2,False,30,74,True,30,45,False,30,8,False
hustack4,700,70,31,866,False,30,1621,True,31,384949,False,31,34,False,30,537,True,30,108,False,30,43,False
hustack5,900,90,31,560,False,30,1476,True,31,614268,False,31,17,False,30,796,True,30,146,False,30,89,False
